width,height,megapixels,aspect_ratio,brightness,contrast,sharpness,colorfulness,subject_ratio,edge_density,quality_score,label
1139,1055,1.2014,1.0792,174.961,18.215,306.147,43.106,0.4686,0.1066,47.73,보정 권장
938,1216,1.14,0.7711,152.508,64.541,238.281,2.0,0.2487,0.0745,45.27,보정 권장
2820,2338,6.5915,1.2064,203.645,21.462,544.082,22.233,0.4681,0.1432,67.54,보정 권장
1846,1459,2.6923,1.2651,63.087,59.345,431.609,29.235,0.2437,0.1223,65.31,보정 권장
1007,1641,1.653,0.614,114.386,32.381,17.017,33.227,0.6636,0.0376,41.42,재촬영 권장
1504,2083,3.133,0.7221,106.499,73.828,408.372,19.829,0.941,0.1366,70.3,보정 권장
557,539,0.3002,1.0325,46.053,58.492,101.325,4.269,0.5371,0.0491,23.97,재촬영 권장
1333,1443,1.9238,0.924,167.413,26.855,69.54,18.785,0.3357,0.0592,36.83,재촬영 권장
3457,3471,12.0,0.9958,114.184,28.493,210.995,19.517,0.02,0.0981,50.57,보정 권장
1349,1670,2.253,0.8079,154.585,55.899,361.888,19.177,0.1468,0.1268,59.42,보정 권장
1628,1306,2.1261,1.2459,219.391,40.277,57.1,43.581,0.7299,0.0234,36.41,재촬영 권장
1995,1642,3.2755,1.2146,110.87,41.952,471.34,13.01,0.2647,0.1477,70.97,제작 적합
2134,2099,4.4781,1.0166,108.154,67.9,496.938,34.214,0.3832,0.1542,85.47,제작 적합
663,500,0.3314,1.3255,129.747,31.524,260.796,32.216,0.568,0.0689,44.35,재촬영 권장
703,626,0.44,1.124,164.49,46.643,114.503,43.446,0.7168,0.0172,34.69,재촬영 권장
1396,1731,2.4167,0.8067,102.331,62.183,103.546,28.136,0.4141,0.0054,57.13,보정 권장
1074,979,1.051,1.0966,99.762,59.564,629.421,41.076,0.3772,0.1788,70.61,제작 적합
2264,2877,6.5141,0.7868,167.288,42.127,64.159,27.589,0.4629,0.042,55.16,재촬영 권장
1370,1100,1.506,1.2456,140.146,39.8,651.635,36.081,0.337,0.1593,71.39,제작 적합
588,596,0.3507,0.9876,43.211,13.701,215.461,8.959,0.3467,0.0948,17.96,재촬영 권장
781,818,0.6389,0.9548,75.984,25.988,229.341,2.0,0.5241,0.0804,31.12,재촬영 권장
377,447,0.1684,0.8435,185.049,50.73,53.741,35.286,0.4834,0.0604,30.89,재촬영 권장
1483,1092,1.62,1.3575,141.077,42.518,219.075,36.037,0.8337,0.0822,49.44,보정 권장
1274,1325,1.6881,0.9621,94.512,46.349,434.279,36.657,0.529,0.1072,65.33,제작 적합
1107,1233,1.365,0.8985,118.184,63.707,75.09,22.651,0.6572,0.0479,46.05,보정 권장
2199,2401,5.2811,0.9157,125.529,23.628,391.597,50.856,0.2572,0.1313,71.69,제작 적합
2592,2269,5.8815,1.1423,154.429,40.749,270.852,23.562,0.5445,0.0768,66.45,보정 권장
1371,1251,1.7157,1.0957,70.669,48.397,140.061,35.892,0.3199,0.0262,43.33,보정 권장
570,514,0.2929,1.1087,91.362,32.325,539.513,38.325,0.5212,0.1569,54.49,보정 권장
1970,1769,3.4858,1.1137,135.918,70.767,34.447,54.062,0.5739,0.0086,69.24,보정 권장
2373,1389,3.2969,1.7082,121.007,61.355,341.543,25.562,0.459,0.1278,78.08,제작 적합
1545,1710,2.6422,0.9034,147.874,50.222,1073.793,20.855,0.8833,0.2803,74.54,제작 적합
2063,2345,4.8379,0.8798,75.82,77.296,913.615,9.026,0.707,0.2829,78.22,제작 적합
756,927,0.701,0.8159,139.285,18.02,355.06,51.733,0.6619,0.0663,48.81,보정 권장
3741,3207,12.0,1.1665,168.663,44.861,190.556,35.9,0.5876,0.0703,62.61,보정 권장
